ааr|Afar|Афар
mac/mke|Macedonian|Македонский
mad|Madurese|Мадурский
mag|Magahi|Магахи
mah|Marshall|Маршальский
mai|Maithili|Майтхили
mak|Makasar|Макассарский
mal|Malayalam|Малаялам
man|Mandingo|Мандинго
mao/mri|Maori|Маори
map|Austronesian (Other)|Австронезийские (другие)
mar|Marathi|Маратхи
mas|Masai|Масаи
max|Manx|Мэнкский
may/msa|Malay|Малайский
men|Mende|Менде
mga|Irish, Middle (900-1200),Среднеирландский
mic|Micmac|Микмак
min|Minangkabau|Минангкабау
mis|Miscellaneous (Other)|Смешанные (другие)
mke/mac|Macedonian|Македонский
mkh|Mon-Khmer (Other)|Монкхмерские (другие)
mlg|Malagasy|Малагасийский
mlt|Maltese|Мальтийский
mni|Manipuri|Манипурский
mno|Manobo languages|Манобо языки
moh|Mohawk|Мохаук
mok|Moksha-Mordvinian|Мокшанский (Мокша-мордовский)
mol|Moldavian|Молдавский
mon|Mongolian|Монгольский
mos|Mossi|Моси
mri/mao|Maori|Маори
msa/may|Malay|Малайский
mul|Multiple languages|Разных семей языки
mun|Munda languages|Мунда языки
mus|Creek|Крик
mwr|Marwari|Марвари
mya/bur|Burmese|Бирманский
myn|Mayan languages|Майя языки
nan|Aztec|Ацтекский
nai|North American Indian (Other)|Северной Америки индейцев (другие)
nau|Nauru|Науру
nav|Navajo|Навахо
nbl|Ndebele, South,Ндебеле южный
nde|Ndebele, North,Ндебеле северный
ndl/dut|Dutch|Нидерландский
ndo|Ndonga|Ндунга
nep|Nepali|Непальский
new|Newari|Неварский
nic|Niger-Kordofanian (Other)|Нигер-кордофанские (другие)
niu|Niuean|Ниуэ
nno|Norwegian (Nynorsk)|Нюнорск (Новонорвежский)
nog|Nogai|Ногайский
non|Norse, Old,Старонорвежский
nor|Norwegian|Норвежский
nob|Bokmål|Букмол
nso|Sotho, Northern,Сото Северный
nub|Nubian languages|Нубийские языки
nya|Nyanja|Ньянджа
nym|Nyamwezi|Ньямвези
nyn|Nyankole|Ньянколе
nyo|Nyoro|Ньоро
nzi|Nzima|Нзима
oci|Langue d'oc (post 1500)|Окситанский (лангедок)
oji|Ojibwa|Оджибва
ori|Oriya|Ория
orm|Oromo|Оромо
osa|Osage|Оседжи
oss|Ossetic|Осетинский
ost|Ostyd|Хантыйский
ota|Turkish, Ottoman (1500-1928),Старотурецкий
oto|Otomian languages|Отомангские языки
paa|Papuan-Australian (Other)|Папуасско-австралийские (другие)
pag|Pangasinan|Пангасинан
pal|Pahlavi|Пехлевийский
pam|Pampanga|Пампанга
pan|Panjabi|Панджаби
pap|Papiamento|Папьяменто
pau|Palauan|Палау
pem|Permyak|Коми-пермяцкий
peo|Persian, Old (ca. 600-400 b.c.),Староперсидский
per/fas|Persian|Персидский
phn|Phoenician|Финикийский
pli|Pali|Пали
pol|Polish|Польский
pon|Ponape|Понапе
por|Portugese|Португальский
pra|Prakrit languages|Пракриты языки
pro|Provencal Old (to 1500)|Старопровансальский
pus|Pushto|Пушту
que|Quechua|Кечуа
raj|Rajasthani|Раджастхани
rar|Rarotongan|Раротонга
roa|Romance (Other)|Романские (другие)
roh|Raeto- Romance|Ретороманский
rom|Romany|Цыганский
ron/rum|Romanian|Румынский
rum/ron|Romanian|Румынский
run|Rundy|Рунди
rus|Russian|Русский
sad|Sandawe|Сандаве
sag|Sango|Санго
sah|Yakut|Якутский
sai|South American Indian (Other)|Южной Америки индейцев (другие)
sal|Salishan language|Салишские языки
sam|Samaritan Aramaic|Самаритянский арамейский
san|Sanskrit|Санскрит
sco|Scots|Гаэльский (Шотландский)
scr|Serbo-Croatian|Сербскохорватский
sel|Selkup|Селькупский
sem|Semitic (Other)|Семитские (другие)
sga|Irish, Old (to 900),Староирландский
shn|Shan|Шанский
sid|Sidamo|Сидама
sin|Sinhalese|Сингальский
sio|Siouan languages|Сиу языки
sit|Sino-Tibetan (Other)|Синотибетские (другие)
sho|Shor|Шорский
shu|Shughni|Шугнанский
sla|Slavic (Other)|Славянские (другие)
slk/slo|Slovak|Словацкий
slo/slk|Slovak|Словацкий
slv|Slovenian|Словенский
smi|Sami languages|Саамские языки
smo|Samoan|Самоанский
sna|Shona|Шона
snd|Sindhi|Синдхи
sog|Sogdian|Согдийский
som|Somali|Сомали
son|Songhai|Сонгаи
sot|Sotho, Southern|Сото Южный
spa|Spanish|Испанский
sqi/alb|Albanian|Албанский
srd|Sardinian|Сардинский
srr|Serer|Серер
srp|Serbian|Сербский
ssa|Nilo-Saharan (Other)|Нило-сахарские (другие)
ssw|Swazi|Свази
suk|Sukuma|Сукума
sun|Sundanese|Сунданский
sus|Susu|Сусу
sux|Sumerian|Шумерский
sve/swe|Swedish|Шведский
swa|Swahili|Суахили
swe/sve|Swedish|Шведский
syr|Syriac|Сирийский
tab|Tabasaran|Табасаранский
tah|Tahitian|Таитянский
tai|Tati|Татский
tal|Talish|Талышский
tam|Tamil|Тамильский
tat|Tatar|Татарский
tel|Telugu|Телугу
tem|Timne|Темне
ter|Tereno|Терено
tgk|Tajik|Таджикский
tgl|Tagalog|Тагалог
tha|Thai|Таи
tib/bod|Tibetan|Тибетский
tig|Tigre|Тигре
tir|Tigrinya|Тигринья
tiv|Tivi|Тиви
tli|Tlingit|Тлингит
tmh|Tamashek|Тамашек
tog|Tonga (Nyasa)|Тонга (Ньяса)
ton|Tonga (Tonga Islands)|Тонга (Тонга Исландский)
tru|Truk|Трук
tsa|Tsakhur|Цахурский
tsi|Tsimshian|Цимшиан
tsn|Tswana|Тсвана
tso|Tsonga|Тсонга
tuk|Turkmen|Туркменский
tum|Tumbuka|Тумбука
tun|Tungus|Эвенкийский
tur|Turkish|Турецкий
tut|Altaic (Other)|Алтайские (другие)
twi|Twi|Тви
tyv|Tuvinian|Тувинский
ude|Udehe|Удэгейский
uga|Ugaritic|Угаритский
uig|Uighur|Уйгурский
ukr|Ukrainian|Украинский
ulc|Ulcha|Ульчский
umb|Umbundu|Умбунду
und|Undetermined|Неидентифицированный
urd|Urdu|Урду
uzb|Uzbek|Узбекский
vai|Vai|Ваи
ven|Venda|Венда
vep|Veps|Вепсский
vie|Vietnamese|Вьетнамский
vog|Vogul|Мансийский
vol|Volapuk|Волапюк
vot|Votic|Удмуртский
wak|Wakashan language|Вакашские языки
wln|Walloon|Валлонский
wal|Walamo|Воламо
war|Waray|Варай
was|Washo|Вашо
wel/cym|Welsh|Валлийский (Уэльский)
wen|Sorbian languages|Лужицкие языки
wol|Wolof|Волоф
xho|Xhosa|Коса
yao|Yao|Яо
yap|Yap|Яп
yid|Yiddish|Идиш
yor|Yoruba|Йоруба
yuk|Yukaghir|Юкагирский
yur|Yurak-Samoyed|Ненецкий
zap|Zapotec|Сапотекский
zen|Zenaga|Зенагский
zha|Zhuang|Чжуань
zho/chi|Chinese|Китайский
zul|Zulu|Зулу
zun|Zuni|Зуньи
hbs|Serbo-Croatian|Сербохорватский
